local_topics_sim:analytic,local_topics_sim:innovation,local_topics_sim:technology,global_topics_sim:analytic,global_topics_sim:innovation,global_topics_sim:technology,company,link,tic,edit_sim:analytic,edit_sim:innovation,edit_sim:technology,haskey:analytic,haskey:innovation,haskey:technology,sic,ni
0.5,0.5,1.0,-2.661853313446045,-1.70430588722229,0.9999998211860657,51job inc.,https://www.prnewswire.com/news/51job%2C-inc./,,0.375,0.5454545454545454,0.3,0.0,0.0,0.0,3577.0,-8.69
0.5,1.0,1.0,-2.22713041305542,0.9999998211860657,0.9999998211860657,ademi llp,https://www.prnewswire.com/news/ademi-llp/,,0.625,1.0,1.0,0.0,1.0,1.0,3577.0,-8.69
0.5,1.0,1.0,-1.9321925640106201,0.9999998211860657,0.9999998211860657,ads__tec energy,https://www.prnewswire.com/news/ads__tec-energy/,ADSE,0.375,0.45454545454545453,1.0,0.0,0.0,1.0,,
0.5,0.9999999403953552,1.0,-2.1643717288970947,0.9999998211860657,0.9999998211860657,aethlon medical inc.,https://www.prnewswire.com/news/aethlon-medical%2C-inc./,AEMD,0.75,0.7,0.6,0.0,0.0,0.0,3841.0,-7.887
0.5,0.5,1.0,-2.2540571689605713,-1.3257968425750732,0.9999998211860657,agoda,https://www.prnewswire.com/news/agoda/,,0.46153846153846156,0.5,0.4,0.0,0.0,0.0,3577.0,-8.69
1.0,1.0,1.0,1.0,0.9999998211860657,0.9999998211860657,akamai technologies,https://www.prnewswire.com/news/akamai-technologies/,AKAM,0.375,0.45454545454545453,0.75,0.0,0.0,0.0,7370.0,651.642
0.5,0.5,0.5,-2.22713041305542,-1.8503882884979248,-2.2849063873291016,akumin inc.,https://www.prnewswire.com/news/akumin-inc./,AKU,0.375,0.6153846153846154,0.3,0.0,0.0,0.0,8071.0,-43.291
0.5,1.0,1.0,-1.9321925640106201,0.9999998211860657,0.9999998211860657,alexandria real estate equities inc.,https://www.prnewswire.com/news/alexandria-real-estate-equities%2C-inc./,ARE,0.5,1.0,1.0,0.0,1.0,1.0,6798.0,571.247
1.0,1.0,1.0,1.0,0.9999998211860657,0.9999998211860657,altair,https://www.prnewswire.com/news/altair/,ALTR,0.8888888888888888,0.6,1.0,1.0,0.0,1.0,7372.0,-8.794
0.5,1.0,0.9999999403953552,-2.160017490386963,0.9999998211860657,0.9999998211860657,amazfit,https://www.prnewswire.com/news/amazfit/,,0.375,1.0,1.0,0.0,1.0,1.0,3577.0,-8.69
0.9999999403953552,0.9999999403953552,1.0,1.0,0.9999998211860657,0.9999998211860657,american electric power,https://www.prnewswire.com/news/american-electric-power/,AEP,0.75,0.8,1.0,0.0,0.0,1.0,4911.0,2488.1
0.9999999403953552,1.0,1.0,1.0,0.9999998211860657,0.9999998211860657,ametek inc.,https://www.prnewswire.com/news/ametek%2C-inc./,AME,0.8,0.7272727272727273,1.0,1.0,0.0,1.0,3823.0,990.053
1.0,0.9999999403953552,1.0,1.0,0.9999998211860657,0.9999998211860657,amgen,https://www.prnewswire.com/news/amgen/,AMGN,0.75,1.0,1.0,0.0,1.0,1.0,2836.0,5893.0
0.5,1.0,1.0,-1.8906383514404297,0.9999998211860657,0.9999998211860657,anterix inc.,https://www.prnewswire.com/news/anterix-inc./,ATEX,0.625,0.5,1.0,0.0,0.0,1.0,4899.0,-54.434
0.5,0.5,0.5,-2.1643717288970947,-1.3257968425750732,-1.3424129486083984,athleta,https://www.prnewswire.com/news/athleta/,,0.375,0.6,0.3,0.0,0.0,0.0,3577.0,-8.69
0.5,1.0,1.0,-2.341311454772949,0.9999998211860657,0.9999998211860657,avanos medical inc.,https://www.prnewswire.com/news/avanos-medical%2C-inc./,AVNS,0.4,1.0,0.3333333333333333,0.0,1.0,0.0,3842.0,5.2
0.5,0.5,0.5,-2.235215425491333,-1.7013132572174072,-2.0668234825134277,avista capital partners,https://www.prnewswire.com/news/avista-capital-partners/,CIIG,0.375,0.5454545454545454,0.3,0.0,0.0,0.0,,
1.0,1.0,1.0,1.0,0.9999998211860657,0.9999998211860657,bd becton dickinson and company,https://www.prnewswire.com/news/bd-%28becton%2C-dickinson-and-company%29/,BDX,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,3841.0,2092.0
0.5,1.0,1.0,-2.1643717288970947,0.9999998211860657,0.9999998211860657,bed bath  beyond,https://www.prnewswire.com/news/bed-bath-%26-beyond/,BBBY,0.375,0.6363636363636364,0.4,0.0,0.0,0.0,5700.0,-559.623
1.0,1.0,1.0,1.0,0.9999998211860657,0.9999998211860657,benson hill,https://www.prnewswire.com/news/benson-hill/,BHIL,0.625,1.0,1.0,0.0,1.0,1.0,100.0,-126.247
0.5,0.5,1.0,-2.235215425491333,-1.531522512435913,0.9999998211860657,berger montague,https://www.prnewswire.com/news/berger-montague/,BGRH,0.5,0.6,1.0,0.0,0.0,1.0,3444.0,0.938
1.0,1.0,1.0,1.0,0.9999998211860657,0.9999998211860657,bgc partners inc.,https://www.prnewswire.com/news/bgc-partners%2C-inc./,BGCP,0.625,0.7272727272727273,1.0,0.0,0.0,1.0,6211.0,124.007
0.5,0.9999999403953552,1.0,-2.235215425491333,0.9999998211860657,0.9999998211860657,biondvax pharmaceuticals ltd.,https://www.prnewswire.com/news/biondvax-pharmaceuticals-ltd./,AMAG,0.625,0.8,1.0,0.0,0.0,1.0,2834.0,-467.661
0.5,0.9999999403953552,0.9999999403953552,-2.235215425491333,0.9999998211860657,0.9999998211860657,brainstorm cell therapeutics inc.,https://www.prnewswire.com/news/brainstorm-cell-therapeutics-inc./,BCLI,0.75,0.6666666666666666,1.0,0.0,0.0,1.0,2836.0,-24.457
0.5,1.0,0.9999999403953552,-2.1643717288970947,0.9999998211860657,0.9999998211860657,caesars entertainment inc.,https://www.prnewswire.com/news/caesars-entertainment%2C-inc./,CZR,0.625,0.8,0.3,0.0,0.0,0.0,7990.0,-1019.0
0.5,1.0,1.0,-2.147453546524048,0.9999998211860657,0.9999998211860657,canaan inc.,https://www.prnewswire.com/news/canaan-inc./,,0.375,0.5,0.4,0.0,0.0,0.0,3577.0,-8.69
0.5,0.5,1.0,-2.235215425491333,-1.3257968425750732,0.9999998211860657,captain morgan,https://www.prnewswire.com/news/captain-morgan/,KMI,0.375,0.6,0.3,0.0,0.0,0.0,4923.0,1784.0
0.9999998807907104,1.0,1.0,1.0,0.9999998211860657,0.9999998211860657,caterpillar inc.,https://www.prnewswire.com/news/caterpillar-inc./,CAT,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,3531.0,6489.0
0.5,0.5,0.5,-2.235215425491333,-1.70430588722229,-1.3424129486083984,chemomab therapeutics ltd,https://www.prnewswire.com/news/chemomab-therapeutics-ltd/,ANTX,0.36363636363636365,0.45454545454545453,0.2,0.0,0.0,0.0,,
0.5,0.5,0.9999999403953552,-2.22713041305542,-1.70430588722229,0.9999998211860657,china natural resources inc.,https://www.prnewswire.com/news/china-natural-resources%2C-inc./,CHNR,0.625,0.5454545454545454,1.0,0.0,0.0,1.0,1000.0,3.892
0.5,1.0,1.0,-2.160017490386963,0.9999998211860657,0.9999998211860657,chipotle mexican grill,https://www.prnewswire.com/news/chipotle-mexican-grill/,CMG,0.375,0.7,0.4,0.0,0.0,0.0,5812.0,652.984
1.0,1.0,1.0,1.0,0.9999998211860657,0.9999998211860657,chipotle mexican grill inc.,https://www.prnewswire.com/news/chipotle-mexican-grill%2C-inc./,CMG,0.375,0.7,1.0,0.0,0.0,1.0,5812.0,652.984
0.5,0.5,0.9999999403953552,-2.362431764602661,-1.531522512435913,0.9999998211860657,chunghwa telecom,https://www.prnewswire.com/news/chunghwa-telecom/,ALGX,0.2857142857142857,0.3,0.4,0.0,0.0,0.0,,
0.5,0.5,0.5,-2.360797882080078,-1.3257968425750732,-1.3424129486083984,civista bancshares inc.,https://www.prnewswire.com/news/civista-bancshares%2C-inc./,CIVB,0.375,0.6,0.3,0.0,0.0,0.0,6020.0,40.546
0.5,1.0,1.0,-2.8426461219787598,0.9999998211860657,0.9999998211860657,claimsfiler,https://www.prnewswire.com/news/claimsfiler/,,0.375,0.8,1.0,0.0,0.0,1.0,3577.0,-8.69
0.5,1.0,1.0,-1.9321925640106201,0.9999998211860657,0.9999998211860657,clps,https://www.prnewswire.com/news/clps/,,0.375,1.0,1.0,0.0,1.0,1.0,3577.0,-8.69
1.0,0.5,1.0,1.0,-1.70430588722229,0.9999998211860657,cme group,https://www.prnewswire.com/news/cme-group/,CME,0.3,0.46153846153846156,0.2,0.0,0.0,0.0,6200.0,2636.4
0.5,0.5,1.0,-2.341311454772949,-1.3257968425750732,0.9999998211860657,cnx resources corporation,https://www.prnewswire.com/news/cnx-resources-corporation/,CNX,0.375,0.7272727272727273,0.4,0.0,0.0,0.0,1311.0,-498.643
1.0,1.0,0.9999999403953552,1.0,0.9999998211860657,0.9999998211860657,cognizant,https://www.prnewswire.com/news/cognizant/,,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,3577.0,-8.69
0.5,1.0,1.0,-1.881460428237915,0.9999998211860657,0.9999998211860657,compass,https://www.prnewswire.com/news/compass/,COMP,0.36363636363636365,0.45454545454545453,1.0,0.0,0.0,1.0,6531.0,-494.1
1.0,1.0,1.0,1.0,0.9999998211860657,0.9999998211860657,consol energy inc.,https://www.prnewswire.com/news/consol-energy-inc./,CEIX,0.625,0.6,0.4,0.0,0.0,0.0,1220.0,34.11
0.5,0.5,0.5,-2.235215425491333,-1.6683664321899414,-1.3424129486083984,construction partners inc.,https://www.prnewswire.com/news/construction-partners%2C-inc./,ROAD,0.375,0.5,1.0,0.0,0.0,1.0,1600.0,20.177
0.5,1.0,1.0,-2.1643717288970947,0.9999998211860657,0.9999998211860657,copart inc.,https://www.prnewswire.com/news/copart%2C-inc./,CPRT,0.375,0.6,0.4,0.0,0.0,0.0,5010.0,936.495
1.0,0.9999999403953552,1.0,1.0,0.9999998211860657,0.9999998211860657,couchbase inc.,https://www.prnewswire.com/news/couchbase%2C-inc./,BASE,0.375,0.5,0.3076923076923077,0.0,0.0,0.0,7370.0,-58.229
0.5,1.0,1.0,-2.22713041305542,0.9999998211860657,0.9999998211860657,cracker barrel old country store inc.,https://www.prnewswire.com/news/cracker-barrel-old-country-store%2C-inc./,CBRL,0.5,0.6,1.0,0.0,0.0,1.0,5812.0,254.513
0.5,1.0,1.0,-1.881460428237915,0.9999998211860657,0.9999998211860657,crocs inc.,https://www.prnewswire.com/news/crocs%2C-inc./,CROX,0.3333333333333333,0.8,1.0,0.0,0.0,1.0,3021.0,725.694
0.5,0.5,0.5,-2.8590996265411377,-1.8548741340637207,-1.3424129486083984,csn resources s.a.,https://www.prnewswire.com/news/csn-resources-s.a./,CRNS,0.375,0.5,0.3,0.0,0.0,0.0,4700.0,9.227
1.0,0.9999999403953552,1.0,1.0,0.9999998211860657,0.9999998211860657,darden restaurants inc. general,https://www.prnewswire.com/news/darden-restaurants%2C-inc.%3A-general/,DRI,0.4166666666666667,0.6,0.4,0.0,0.0,0.0,5812.0,629.3
1.0,1.0,1.0,1.0,0.9999998211860657,0.9999998211860657,dariohealth corp.,https://www.prnewswire.com/news/dariohealth-corp./,,0.5,1.0,1.0,0.0,1.0,1.0,3577.0,-8.69
0.5,1.0,1.0,-1.9321925640106201,0.9999998211860657,0.9999998211860657,darling ingredients inc.,https://www.prnewswire.com/news/darling-ingredients-inc./,DAR,0.5,1.0,1.0,0.0,1.0,1.0,2070.0,650.914
0.5,1.0,0.5,-2.341311454772949,0.9999998211860657,-1.3424129486083984,diamond offshore drilling inc.,https://www.prnewswire.com/news/diamond-offshore-drilling%2C-inc./,DO,0.375,0.45454545454545453,0.4,0.0,0.0,0.0,,
0.5,1.0,1.0,-2.360797882080078,0.9999998211860657,0.9999998211860657,digital brands group inc.,https://www.prnewswire.com/news/digital-brands-group%2C-inc./,DBGI,0.375,0.5,0.3,0.0,0.0,0.0,5961.0,-32.358
0.5,0.5,0.5,-2.720355749130249,-1.7973287105560303,-1.3424129486083984,dnp select income fund inc.,https://www.prnewswire.com/news/dnp-select-income-fund-inc./,DNP,0.375,0.7272727272727273,0.4,0.0,0.0,0.0,,
